DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-05_kojoball41_469,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,14,65490.85,18340.71,16955.14,1,USCGeocoder,109.3659,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5148.23313145246,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.215438277018,-85.361515779945,Exact,TwoThousandTen,,0450,,90900,0,20020,1047,1,0410.00,069,01,1,ResidenceStreetAddress,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,,,,,,,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,1100-1138,,,Ross Clark,Cir,,,,Dothan,AL,36301,,,,,,,,,,Dothan,Houston,5148.23,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238843,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,24,101388.37,18775.66,17744.62,2,USCGeocoder,78.1161,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6885.1305423287,LinearInterpolationAddressRange,StreetSegment,93.9349112426036,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.7951590227084,-87.6850383097361,Relaxed,TwoThousandTen,26896,2650,,91143,0,22520,2038,2,0102.00,077,01,1,ResidenceStreetAddress,205,,,MARENGO,ST,,,,,,FLORENCE,AL,35631,,,,,,,,,,,,,,,,,,205,,,MARENGO,ST,,,,,,FLORENCE,AL,35631,,,,,,,,,,,,201-299,,S,Marengo,St,,,,Florence,AL,35630,,,,,,,,,,Florence,Lauderdale,6885.13,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,41321214,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,11,73278.81,22362,18620.36,3,USCGeocoder,93.7481,1,4.1,,,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,36407403.1181414,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,33.6241096635297,-86.6483337528106,Relaxed;Soundex,TwoThousandTen,,0450,,90324,0,13820,6035,6,0111.04,073,01,4,ResidenceZIP,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,,,,AL,35235,,,,,,,,,,,,36407403.12,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,35235,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,13,50748.46,19315.23,18621.07,4,USCGeocoder,78.1127,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3276136,-86.277476,Relaxed,TwoThousandTen,51000,5240,,92214,0,33860,2016,2,0020.00,101,01,1,ResidenceStreetAddress,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,MONTGOMERY,AL,36111,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1687107,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,15,62154.8,17080.93,16255.06,5,USCGeocoder,78.1466,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3669282,-86.2851162,Exact,TwoThousandTen,51000,5240,,92214,0,33860,2035,2,0006.00,101,01,1,ResidenceStreetAddress,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,,,,,,,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,1725,,,PINE,ST,,,,MONTGOMERY,AL,36106,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1637739,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,18,30602.33,17441.72,16503.72,6,USCGeocoder,62.5153,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3639.24947343738,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.6380740435672,-85.4054807032928,Exact,TwoThousandTen,57048,0580,,90162,0,12220,3013,3,0413.00,081,01,1,ResidenceStreetAddress,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,,,,,,,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,1910-2024,,,Pepperell,Pkwy,,,,Opelika,AL,36801,,,,,,,,,,Auburn-Opelika,Lee,3639.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,1570657,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,18,72602.33,22759.22,19315.33,7,USCGeocoder,203.1186,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3228.67884341249,LinearInterpolationAddressRange,StreetSegment,99.3491124260355,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.5061751881402,-86.8018375400892,Relaxed,TwoThousandTen,,0450,,90324,0,13820,1098,1,0045.00,073,01,1,ResidenceStreetAddress,619,,S,19TH,ST,,,,,,BIRMINGHAM,AL,35233,,,,,,,,,,,,,,,,,,619,,S,19TH,ST,,,,,,BIRMINGHAM,AL,35233,,,,,,,,,,,,601-699,,,19th,St,S,,,Birmingham,AL,35233,,,,,,,,,,Birmingham,Jefferson,3228.68,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,81576442,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,AL - Birmingham,31,58004.09,17419.03,16443.41,8,USCGeocoder,578.1388,1,4.1,,,00,AddressPoint,Ambiguous,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,67.7514792899408,FeatureClassBased,ReturnAll,,AddressPoint,,,3,34.2834441,-86.6868476,Relaxed;Soundex,TwoThousandTen,,0450,,92934,1,18980,2030,2,9642.00,043,01,1,ResidenceStreetAddress,1912,,,157,,,,,,,CULLMAN,AL,35058,,,,,,,,,,,,HWY,,,,,HWY,1912,,,157,,,,,,,CULLMAN,AL,35058,,,,,,,,,,,,1912,,,1559,,,,,cullman,AL,,,,,,,,,,,,Cullman,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,674786,,,CR,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,56,79561.71,18370.05,16869.51,9,USCGeocoder,62.5139,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.72092,-86.5805798,Relaxed,TwoThousandTen,,0450,,91674,0,26620,3068,3,0031.00,089,01,1,ResidenceStreetAddress,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,101,,,SIVLEY,RD,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,341786,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,16,176043.68,18370.5,17386,10,USCGeocoder,78.1259,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12104.828968592,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0093445368332,-85.9709512606732,Exact,TwoThousandTen,28696,2880,,91278,0,23460,1014,1,0112.00,055,01,1,ResidenceStreetAddress,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,,,,,,,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,901-1099,,,Goodyear,Ave,,,,Gadsden,AL,35903,,,,,,,,,,Gadsden,Etowah,12104.83,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66772490,,,,,,0
