DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-05_beckymcclain8_638,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
638 - DIABETES W CC,330004,KINGSTON HOSPITAL,396 BROADWAY,KINGSTON,NY,12401,NY - Albany,21,20006.57,6048.85,5177.85,1,USCGeocoder,593.7488,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,73.3727810650888,FeatureClassBased,ReturnAll,,RoofTop,,,1,41.927,-73.9956,Relaxed;Soundex,TwoThousandTen,39727,,,39727,0,28740,3012,3,9519.00,111,36,1,ResidenceStreetAddress,396,,,BROADWAY,,,,,,,KINGSTON,NY,12401,,,,,,,,,,,,,,,,,,396,,,BROADWAY,,,,,,,KINGSTON,NY,12401,,,,,,,,,,,,396,,,BROADWAY AOR,,,,,Kingston,NY,12401,,,,,,,,,,,Ulster,0,Meters,,SOURCE_COUNTY_PARCEL_DATA,2017,,,ParcelID,ULST033145,,,,,,0
638 - DIABETES W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,32,21175.81,4678.43,4047.68,2,USCGeocoder,140.6566,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5148.23313145246,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.215438277018,-85.361515779945,Exact,TwoThousandTen,,0450,,90900,0,20020,1047,1,0410.00,069,01,1,ResidenceStreetAddress,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,,,,,,,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,1100-1138,,,Ross Clark,Cir,,,,Dothan,AL,36301,,,,,,,,,,Dothan,Houston,5148.23,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238843,,,,,,0
638 - DIABETES W CC,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,AL - Birmingham,12,9719.16,4863.75,4203.41,3,USCGeocoder,187.5096,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1807.51033219747,LinearInterpolationAddressRange,StreetSegment,94.8224852071006,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.2224711271516,-86.159869991983,Relaxed,TwoThousandTen,07912,,,90054,1,10700,1015,1,0312.00,095,01,1,ResidenceStreetAddress,2505,,,431,,N,,,,,BOAZ,AL,35957,,,,,,,,,,,,US,,,,,US,2505,,,431,,N,,,,,BOAZ,AL,35957,,,,,,,,,,,,2553-2401,,,431,,,,,Boaz,AL,35950,,,,,,,,,,Albertville-Boaz,Marshall,1807.51,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,99260499,,,US Hwy,,,0
638 - DIABETES W CC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,35,17021.54,4434.57,3537.2,4,USCGeocoder,140.5908,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6885.1305423287,LinearInterpolationAddressRange,StreetSegment,93.9349112426036,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.7951590227084,-87.6850383097361,Relaxed,TwoThousandTen,26896,2650,,91143,0,22520,2038,2,0102.00,077,01,1,ResidenceStreetAddress,205,,,MARENGO,ST,,,,,,FLORENCE,AL,35631,,,,,,,,,,,,,,,,,,205,,,MARENGO,ST,,,,,,FLORENCE,AL,35631,,,,,,,,,,,,201-299,,S,Marengo,St,,,,Florence,AL,35630,,,,,,,,,,Florence,Lauderdale,6885.13,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,41321214,,,,,,0
638 - DIABETES W CC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,14,15875.5,5176.07,3394.64,5,USCGeocoder,296.8737,1,4.1,,,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,36407403.1181414,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,33.6241096635297,-86.6483337528106,Relaxed;Soundex,TwoThousandTen,,0450,,90324,0,13820,6035,6,0111.04,073,01,4,ResidenceZIP,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,,,,AL,35235,,,,,,,,,,,,36407403.12,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,35235,,,,,,0
638 - DIABETES W CC,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,AL - Birmingham,12,13485.75,4222.33,3564.66,6,USCGeocoder,281.2433,1,4.1,,,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,139125498.075799,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,34.4897613700129,-85.7657167089271,Relaxed;Soundex,TwoThousandTen,,0450,,92655,1,22840,2075,2,9604.00,049,01,4,ResidenceZIP,200,,,MED CENTER,DR,,,,,,FORT PAYNE,AL,35968,,,,,,,,,,,,,,,,,,200,,,MED CENTER,DR,,,,,,FORT PAYNE,AL,35968,,,,,,,,,,,,,,,,,,,,,AL,35968,,,,,,,,,,,,139125498.08,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,35968,,,,,,0
638 - DIABETES W CC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,18,19038.27,5379.66,3041.83,7,USCGeocoder,109.3834,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.2521497,-86.8134874,Exact,TwoThousandTen,,0450,,90036,0,13820,1023,1,0303.19,117,01,1,ResidenceStreetAddress,1000,,,FIRST,ST,N,,,,,ALABASTER,AL,35007,,,,,,,,,,,,,,,,,,1000,,,FIRST,ST,N,,,,,ALABASTER,AL,35007,,,,,,,,,,,,1000,,,1ST,ST,N,,,ALABASTER,AL,35007,,,,,,,,,,,Shelby,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1867419,,,,,,0
638 - DIABETES W CC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,20,10415.45,4555.5,3654.7,8,USCGeocoder,140.6249,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3116.56895585201,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.7458918501208,-87.6989907506798,Exact,TwoThousandTen,69648,2650,,93186,0,22520,2070,2,0203.00,033,01,1,ResidenceStreetAddress,1300,,S,MONTGOMERY,AVE,,,,,,SHEFFIELD,AL,35660,,,,,,,,,,,,,,,,,,1300,,S,MONTGOMERY,AVE,,,,,,SHEFFIELD,AL,35660,,,,,,,,,,,,1200-1398,,S,Montgomery,Ave,,,,Sheffield,AL,35660,,,,,,,,,,Tri-Cities,Colbert,3116.57,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,40759959,,,,,,0
638 - DIABETES W CC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,17,15398.35,5554.05,4625.58,9,USCGeocoder,109.3682,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3276136,-86.277476,Relaxed,TwoThousandTen,51000,5240,,92214,0,33860,2016,2,0020.00,101,01,1,ResidenceStreetAddress,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,MONTGOMERY,AL,36111,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1687107,,,,,,0
638 - DIABETES W CC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,35,19273.22,5185.65,3680.4,10,USCGeocoder,171.8701,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3669282,-86.2851162,Exact,TwoThousandTen,51000,5240,,92214,0,33860,2035,2,0006.00,101,01,1,ResidenceStreetAddress,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,,,,,,,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,1725,,,PINE,ST,,,,MONTGOMERY,AL,36106,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1637739,,,,,,0
