DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_beckykelley8_897,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,47,12254.78,3620.57,2924.82,1,USCGeocoder,93.766,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5148.23313145246,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.215438277018,-85.361515779945,Exact,TwoThousandTen,,0450,,90900,0,20020,1047,1,0410.00,069,01,1,ResidenceStreetAddress,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,,,,,,,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,1100-1138,,,Ross Clark,Cir,,,,Dothan,AL,36301,,,,,,,,,,Dothan,Houston,5148.23,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238843,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,14,10866.42,3289.78,2492.64,2,USCGeocoder,93.7418,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6885.1305423287,LinearInterpolationAddressRange,StreetSegment,93.9349112426036,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.7951590227084,-87.6850383097361,Relaxed,TwoThousandTen,26896,2650,,91143,0,22520,2038,2,0102.00,077,01,1,ResidenceStreetAddress,205,,,MARENGO,ST,,,,,,FLORENCE,AL,35631,,,,,,,,,,,,,,,,,,205,,,MARENGO,ST,,,,,,FLORENCE,AL,35631,,,,,,,,,,,,201-299,,S,Marengo,St,,,,Florence,AL,35630,,,,,,,,,,Florence,Lauderdale,6885.13,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,41321214,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,AL - Birmingham,42,12409.78,3500,2780.66,3,USCGeocoder,109.3721,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2626.09352879785,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.4453642000622,-86.9380701682661,Exact,TwoThousandTen,33448,2030,,91539,0,19460,1008,1,0053.03,103,01,1,ResidenceStreetAddress,201,,,PINE,ST,NW,,,,,HARTSELLE,AL,35640,,,,,,,,,,,,,,,,,,201,,,PINE,ST,NW,,,,,HARTSELLE,AL,35640,,,,,,,,,,,,399-201,,,Pine,St,NW,,,Hartselle,AL,35640,,,,,,,,,,Hartselle,Morgan,2626.09,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,97105507,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,14,17288.35,4213.71,3248,4,USCGeocoder,93.8145,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.4674556213018,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3276136,-86.277476,Relaxed,TwoThousandTen,51000,5240,,92214,0,33860,2016,2,0020.00,101,01,1,ResidenceStreetAddress,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,,,MONTGOMERY,AL,36116,,,,,,,,,,,,2105,,E,SOUTH,BLVD,,,,MONTGOMERY,AL,36111,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1687107,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,14,5622.64,3829.64,2808.07,5,USCGeocoder,78.1407,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3639.24947343738,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.6380740435672,-85.4054807032928,Exact,TwoThousandTen,57048,0580,,90162,0,12220,3013,3,0413.00,081,01,1,ResidenceStreetAddress,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,,,,,,,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,1910-2024,,,Pepperell,Pkwy,,,,Opelika,AL,36801,,,,,,,,,,Auburn-Opelika,Lee,3639.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,1570657,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,15,22833.53,3900.46,3074.6,6,USCGeocoder,93.7713,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.72092,-86.5805798,Relaxed,TwoThousandTen,,0450,,91674,0,26620,3068,3,0031.00,089,01,1,ResidenceStreetAddress,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,101,,,SIVLEY,RD,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,341786,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,38,17280.1,3405.63,2577.42,7,USCGeocoder,140.6564,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3164.33534934517,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0050559013151,-86.0038673191009,Exact,TwoThousandTen,28696,2880,,91278,0,23460,3006,3,0012.00,055,01,1,ResidenceStreetAddress,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,,,,,,,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,600-698,,S,3rd,St,,,,Gadsden,AL,35901,,,,,,,,,,Gadsden,Etowah,3164.34,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66794160,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,13,17065.61,3391.3,2781.76,8,USCGeocoder,156.2459,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1862.84383050515,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.6570278580549,-85.8233782429084,Exact,TwoThousandTen,01852,0450,,90099,0,11500,1053,1,0008.00,015,01,1,ResidenceStreetAddress,400,,E,10TH,ST,,,,,,ANNISTON,AL,36207,,,,,,,,,,,,,,,,,,400,,E,10TH,ST,,,,,,ANNISTON,AL,36207,,,,,,,,,,,,400-498,,E,10th,St,,,,Anniston,AL,36207,,,,,,,,,,Anniston,Calhoun,1862.84,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66585523,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,AL - Huntsville,11,5329.36,3481.27,2350.9,9,USCGeocoder,140.6397,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2641.24340052131,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.5911031461491,-86.9727248921172,Relaxed,TwoThousandTen,,0450,,90864,0,19460,5021,5,0001.00,103,01,1,ResidenceStreetAddress,1201,,,7TH,ST,SE,,,,,DECATUR,AL,35609,,,,,,,,,,,,,,,,,,1201,,,7TH,ST,SE,,,,,DECATUR,AL,35609,,,,,,,,,,,,1201-1291,,,7th,St,SE,,,Decatur,AL,35601,,,,,,,,,,Decatur,Morgan,2641.24,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,640316049,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,34,13532.52,3936.91,3079.85,10,USCGeocoder,93.7581,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.2052116,-87.5254569,Exact,TwoThousandTen,,0450,,93222,0,46220,1096,1,0112.00,125,01,1,ResidenceStreetAddress,809,,,UNIVERSITY,BLVD,E,,,,,TUSCALOOSA,AL,35401,,,,,,,,,,,,,,,,,,809,,,UNIVERSITY,BLVD,E,,,,,TUSCALOOSA,AL,35401,,,,,,,,,,,,809,,,UNIVERSITY,BLVD,E,,,tuscaloosa,AL,35401,,,,,,,,,,,Tuscaloosa,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2023979,,,,,,0
