DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_kojoball41_418,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,26,42380.07,10145.8,9046.23,1,USCGeocoder,156.158,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5148.233131,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.21543828,-85.36151578,Exact,TwoThousandTen,,450,,90900,0,20020,1047,1,410,69,1,1,ResidenceStreetAddress,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,,,,,,,1108,,,ROSS CLARK,CIR,,,,,,DOTHAN,AL,36301,,,,,,,,,,,,1100-1138,,,Ross Clark,Cir,,,,Dothan,AL,36301,,,,,,,,,,Dothan,Houston,5148.23,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238843,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,AL - Birmingham,15,19605.13,9935.4,9031.93,2,USCGeocoder,171.8965,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1807.510332,LinearInterpolationAddressRange,StreetSegment,94.82248521,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.22247113,-86.15986999,Relaxed,TwoThousandTen,7912,,,90054,1,10700,1015,1,312,95,1,1,ResidenceStreetAddress,2505,,,431,,N,,,,,BOAZ,AL,35957,,,,,,,,,,,,US,,,,,US,2505,,,431,,N,,,,,BOAZ,AL,35957,,,,,,,,,,,,2553-2401,,,431,,,,,Boaz,AL,35950,,,,,,,,,,Albertville-Boaz,Marshall,1807.51,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,99260499,,,US Hwy,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,19,40141.31,9071.05,8184.1,3,USCGeocoder,109.3741,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6885.130542,LinearInterpolationAddressRange,StreetSegment,93.93491124,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.79515902,-87.68503831,Relaxed,TwoThousandTen,26896,2650,,91143,0,22520,2038,2,102,77,1,1,ResidenceStreetAddress,205,,,MARENGO,ST,,,,,,FLORENCE,AL,35631,,,,,,,,,,,,,,,,,,205,,,MARENGO,ST,,,,,,FLORENCE,AL,35631,,,,,,,,,,,,201-299,,S,Marengo,St,,,,Florence,AL,35630,,,,,,,,,,Florence,Lauderdale,6885.13,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,41321214,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,AL - Huntsville,11,26315.81,8841.27,8329.63,4,USCGeocoder,156.2435,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2693.874625,LinearInterpolationAddressRange,StreetSegment,96.03550296,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.36320006,-86.42149916,Relaxed,TwoThousandTen,,450,,90108,1,10700,1037,1,305,95,1,1,ResidenceStreetAddress,8000,,,69,,,,,,,GUNTERSVILLE,AL,35976,,,,,,,,,,,,HWY,,,,,HWY,8000,,,69,,,,,,,GUNTERSVILLE,AL,35976,,,,,,,,,,,,8096-7912,,,69,,,,,Arab,AL,35976,,,,,,,,,,Arab,Marshall,2693.87,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,635553898,,,State Rte,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,15,26493.26,8908.73,7985.2,5,USCGeocoder,203.1292,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,36407403.12,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,33.62410966,-86.64833375,Relaxed;Soundex,TwoThousandTen,,450,,90324,0,13820,6035,6,111.04,73,1,4,ResidenceZIP,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,50,,,MEDICAL PARK EAST,DR,,,,,,BIRMINGHAM,AL,35235,,,,,,,,,,,,,,,,,,,,,AL,35235,,,,,,,,,,,,36407403.12,Meters,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,35235,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,11,50721,9443.09,8519.81,6,USCGeocoder,125.0015,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.2521497,-86.8134874,Exact,TwoThousandTen,,450,,90036,0,13820,1023,1,303.19,117,1,1,ResidenceStreetAddress,1000,,,FIRST,ST,N,,,,,ALABASTER,AL,35007,,,,,,,,,,,,,,,,,,1000,,,FIRST,ST,N,,,,,ALABASTER,AL,35007,,,,,,,,,,,,1000,,,1ST,ST,N,,,ALABASTER,AL,35007,,,,,,,,,,,Shelby,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1867419,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,18,21616.61,9153.88,8039.44,7,USCGeocoder,156.2379,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3116.568956,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.74589185,-87.69899075,Exact,TwoThousandTen,69648,2650,,93186,0,22520,2070,2,203,33,1,1,ResidenceStreetAddress,1300,,S,MONTGOMERY,AVE,,,,,,SHEFFIELD,AL,35660,,,,,,,,,,,,,,,,,,1300,,S,MONTGOMERY,AVE,,,,,,SHEFFIELD,AL,35660,,,,,,,,,,,,1200-1398,,S,Montgomery,Ave,,,,Sheffield,AL,35660,,,,,,,,,,Tri-Cities,Colbert,3116.57,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,40759959,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,16,39192.56,9176.37,7229.06,8,USCGeocoder,124.9846,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3669282,-86.2851162,Exact,TwoThousandTen,51000,5240,,92214,0,33860,2035,2,6,101,1,1,ResidenceStreetAddress,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,,,,,,,1725,,,PINE,ST,,,,,,MONTGOMERY,AL,36106,,,,,,,,,,,,1725,,,PINE,ST,,,,MONTGOMERY,AL,36106,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1637739,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,12,21379.66,9703.33,8768,9,USCGeocoder,78.136,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3639.249473,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.63807404,-85.4054807,Exact,TwoThousandTen,57048,580,,90162,0,12220,3013,3,413,81,1,1,ResidenceStreetAddress,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,,,,,,,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,1910-2024,,,Pepperell,Pkwy,,,,Opelika,AL,36801,,,,,,,,,,Auburn-Opelika,Lee,3639.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,1570657,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham,11,66541.36,9025.18,7290.63,10,USCGeocoder,281.243,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2539.208514,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.66778675,-85.82500163,Exact,TwoThousandTen,1852,450,,90099,0,11500,1049,1,2,15,1,1,ResidenceStreetAddress,301,,E,18TH,ST,,,,,,ANNISTON,AL,36201,,,,,,,,,,,,,,,,,,301,,E,18TH,ST,,,,,,ANNISTON,AL,36201,,,,,,,,,,,,301-353,,E,18th,St,,,,Anniston,AL,36201,,,,,,,,,,Anniston,Calhoun,2539.21,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,624725714,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,27,47203.96,10196.51,8953.03,11,USCGeocoder,93.7605,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.63313609,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.72092,-86.5805798,Relaxed,TwoThousandTen,,450,,91674,0,26620,3068,3,31,89,1,1,ResidenceStreetAddress,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,101,,,SIVLEY,RD,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,341786,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,25,92185.32,9407.24,7423.88,12,USCGeocoder,140.6166,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12104.82897,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.00934454,-85.97095126,Exact,TwoThousandTen,28696,2880,,91278,0,23460,1014,1,112,55,1,1,ResidenceStreetAddress,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,,,,,,,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,901-1099,,,Goodyear,Ave,,,,Gadsden,AL,35903,,,,,,,,,,Gadsden,Etowah,12104.83,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66772490,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,13,65151,8886.84,7846.84,13,USCGeocoder,234.378,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3164.335349,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0050559,-86.00386732,Exact,TwoThousandTen,28696,2880,,91278,0,23460,3006,3,12,55,1,1,ResidenceStreetAddress,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,,,,,,,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,600-698,,S,3rd,St,,,,Gadsden,AL,35901,,,,,,,,,,Gadsden,Etowah,3164.34,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66794160,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,23,64990.52,9565.69,8224.47,14,USCGeocoder,109.3714,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3580.868871,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.23610923,-85.45794609,Exact,TwoThousandTen,,450,,90900,0,20020,4013,4,402.02,69,1,1,ResidenceStreetAddress,4370,,W,MAIN,ST,,,,,,DOTHAN,AL,36305,,,,,,,,,,,,,,,,,,4370,,W,MAIN,ST,,,,,,DOTHAN,AL,36305,,,,,,,,,,,,4200-4370,,W,Main,St,,,,Dothan,AL,36305,,,,,,,,,,Dothan,Houston,3580.87,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238190,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,16,28607.62,9240.68,7641.87,15,USCGeocoder,109.3486,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.99408284,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.5071318,-86.7890693,Relaxed,TwoThousandTen,,450,,90324,0,13820,1010,1,47.01,73,1,1,ResidenceStreetAddress,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,jefferson,AL,35205,,,,,,,,,,,Jefferson,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1188092,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,18,41265.88,9161.44,8097.66,16,USCGeocoder,296.9076,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1862.843831,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.65702786,-85.82337824,Exact,TwoThousandTen,1852,450,,90099,0,11500,1053,1,8,15,1,1,ResidenceStreetAddress,400,,E,10TH,ST,,,,,,ANNISTON,AL,36207,,,,,,,,,,,,,,,,,,400,,E,10TH,ST,,,,,,ANNISTON,AL,36207,,,,,,,,,,,,400-498,,E,10th,St,,,,Anniston,AL,36207,,,,,,,,,,Anniston,Calhoun,1862.84,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66585523,,,,,,0,,,,,,
